
   GPS LAT  GPS LONG   ROLL  PITCH AZIMUT   T IN  PmBARS  T OUT    RH%
    80  1411   678   148     4   -18    33 -9999    -4
    60   952   639   147     4   -21    35 -9999    -3
    40   767   571   146     5   -17    35 -9999    -5
    20   654   474   145     5   -11    34     0    -7
$

   GPS LAT  GPS LONG   ROLL  PITCH AZIMUT   T IN  PmBARS  T OUT    RH%
   48.7846    2.2189   88.4    0.7  163.6   48.8   996.9   27.4   30.3                    

   BL# MONTH   DAY  YEAR  HOUR   MIN  VAL1  VAL2  VAL3  VAL4
     0     6     5  2013     1    20   423   390   873     0

  SPU1  SPU2  SPU3  SPU4 NOIS1 NOIS2 NOIS3 NOIS4 FEMAX SOFTW
     2     0     1     0  5202  5102  5101     0    66   902

  FE11  FE12  FE21  FE22  SNR1  SNR2  SNR3  SNR4 CHECK   JAM
     9     9     9     9    69    59    79     0    52 11100

   ALT    CT SPEED   DIR S DIR     W    SW INVMI  DTDZ

   400 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   380 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   360 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   340 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   320 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   300 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   280  6000   773   136     4    -3    36 -9999     6
   260  5555   751   137     4     9    34 -9999     5
   240  2636   758   140     4     8    33 -9999     0
   220  1627   790   141     4    -2    35 -9999    -1
   200  1209   822   141     3   -16    37 -9999    -2
   180  1390   801   147     4   -15    32 -9999     0
   160  1570   759   150     4   -13    26 -9999     3
   140  1651   710   151     4   -17    24 -9999     2
   120  1700   707   151     4   -18    25 -9999     0
   100  1693   695   151     4   -14    29 -9999    -3
    80  1418   678   150     4   -12    33 -9999    -4
    60   956   643   150     4   -13    36 -9999    -4
    40   775   583   150     4    -6    34 -9999    -5
    20   667   498   151     5     4    31     0    -6
$

   GPS LAT  GPS LONG   ROLL  PITCH AZIMUT   T IN  PmBARS  T OUT    RH%
   48.7847    2.2188   88.4    0.7  163.7   48.7   996.8   27.3   30.4                    

   BL# MONTH   DAY  YEAR  HOUR   MIN  VAL1  VAL2  VAL3  VAL4
     0     6     5  2013     1    30   446   486  1001     0

  SPU1  SPU2  SPU3  SPU4 NOIS1 NOIS2 NOIS3 NOIS4 FEMAX SOFTW
     2     0     1     0  5202  5102  5101     0    45   902

  FE11  FE12  FE21  FE22  SNR1  SNR2  SNR3  SNR4 CHECK   JAM
     9     9     9     9    69    59    79     0    52 11100

   ALT    CT SPEED   DIR S DIR     W    SW INVMI  DTDZ

   400 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   380 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   360 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   340 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   320 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   300 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   280  4620  1110   154     3     5    33 -9999     2
   260  2014  1055   153     3    11    33 -9999    -8
   240  1353  1023   150     3     0    34 -9999    -7
   220  1173  1039   153     3    -6    35 -9999    -5
   200  1143  1048   157     3   -11    36 -9999    -2
   180  1416   871   153     3   -13    37 -9999    -1
   160  1641   765   152     3   -15    36 -9999     0
   140  1596   705   153     4   -18    29 -9999     0
   120  1604   697   152     4   -19    25 -9999    -1
   100  1697   684   152     4   -18    27 -9999    -2
    80  1454   666   152     4   -16    27 -9999    -2
    60   974   640   151     4   -15    28 -9999    -1
    40   796   570   151     5   -11    27 -9999    -3
    20   696   458   150     5    -7    26     0    -4
$

   GPS LAT  GPS LONG   ROLL  PITCH AZIMUT   T IN  PmBARS  T OUT    RH%
   48.7846    2.2188   88.4    0.7  163.5   48.6   996.5   27.2   30.5                    

   BL# MONTH   DAY  YEAR  HOUR   MIN  VAL1  VAL2  VAL3  VAL4
     0     6     5  2013     1    40   465   553   951     0

  SPU1  SPU2  SPU3  SPU4 NOIS1 NOIS2 NOIS3 NOIS4 FEMAX SOFTW
     2     0     1     0  5202  5102  5102     0    45   902

  FE11  FE12  FE21  FE22  SNR1  SNR2  SNR3  SNR4 CHECK   JAM
     9     9     9     9    79    59    89     0    52 11100

   ALT    CT SPEED   DIR S DIR     W    SW INVMI  DTDZ

   400 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   380 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   360 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   340 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   320 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   300 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   280  3349  1305   165     3    23    32 -9999    -3
   260  1080  1239   163     3    29    34 -9999   -11
   240  1085  1175   162     3    22    36 -9999    -9
   220  1083  1218   163     3    10    37 -9999    -6
   200  1078  1261   164     3    -3    38 -9999    -3
   180  1365  1038   158     3    -8    36 -9999    -1
   160  1582   874   155     3   -11    32 -9999     1
   140  1427   748   153     3   -14    25 -9999    -1
   120  1385   711   152     3   -16    22 -9999    -2
   100  1526   678   152     3   -15    24 -9999    -3
    80  1329   654   152     3   -14    27 -9999    -3
    60   894   633   153     2   -13    32 -9999    -4
