
   GPS LAT  GPS LONG   ROLL  PITCH AZIMUT   T IN  PmBARS  T OUT    RH%
   37.1963  -80.5783    0.0    0.0  337.5   19.4   961.2   10.6   55.1                    
   ALT    CT SPEED   DIR     W    SW    SU    SV  ETAM

   182  3874   387   300    31   101   132   113    41
   172  5172   377   300    31   101   130   110    46
   162  4244   369   300    35   100   139   121    29
   152  3432   370   297    37    96   139   120    30
   142  2835   435   304    40    87   119    98    65
   132  2217   490   306    42    80   109    82    95
   122  1581   486   295    45    73   101    70   131
   112  1491   477   295    37    76   122    77   134
   102  1574   457   296    24    84   154    91   120
    92  1596   428   290    22    95   177    92    63
    82  1621   396   286    19   103   192    92    31
    72  1667   368   281    11   105   178    95   122
    62  1768   369   278     2   102   166    97   142
    52  1958   382   275    -5    91   154    97    47
    42  1763   407   274   -16    82   148   101    38
    32  1297   403   273   -29    73   147   109    90
    22  1144   415   279   -32    69   142   107 -9999
    12  1072   450   289   -31    67   137   100 -9999
$

   GPS LAT  GPS LONG   ROLL  PITCH AZIMUT   T IN  PmBARS  T OUT    RH%
   37.1963  -80.5783    0.0   -0.1  344.4   28.6   960.4   14.6   45.3                    

   BL# MONTH   DAY  YEAR  HOUR   MIN  VAL1  VAL2  VAL3  VAL4
  7953    11    10  2016    11    20   429   373   787     0

  SPU1  SPU2  SPU3  SPU4 NOIS1 NOIS2 NOIS3 NOIS4 FEMAX SOFTW
     0     0     0     0  5003  5004  4900     0   235  9063

  FE11  FE12  FE21  FE22  SNR1  SNR2  SNR3  SNR4 CHECK   JAM
     9     7     9     9   118   108   119     0    53 10100

   ALT    CT SPEED   DIR     W    SW    SU    SV  ETAM

   182 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   172 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   162  2755   778   286    17    99   157   117   147
   152  2608   754   286    28    96   157   117   146
   142  2163   777   288    26   100   157   117   145
   132  1912   772   289    28   104   161   117   131
   122  1804   684   286    32   108   169   117   106
   112  1742   646   282    25   106   176   117    84
   102  1693   634   279    16   101   182   116    61
    92  1560   643   282    15    98   187   116    37
    82  1459   637   281    15    96   189   113    31
    72  1511   626   281     9    97   179   101    82
    62  1496   622   284     1    98   171    98    95
    52  1376   607   285   -15    98   163   110    30
    42  1141   588   285   -23   102   168   109   138
    32   828   589   284   -28   109   185    97   414
