
   GPS LAT  GPS LONG   ROLL  PITCH AZIMUT   T IN  PmBARS  T OUT    RH%
   37.1968  -80.5777    0.0    0.0  282.6   26.0   958.6   20.4   71.4                    

   BL# MONTH   DAY  YEAR  HOUR   MIN  VAL1  VAL2  VAL3  VAL4
   573     5    17  2017     7    40   315   232  1520     0

  SPU1  SPU2  SPU3  SPU4 NOIS1 NOIS2 NOIS3 NOIS4 FEMAX SOFTW
 -9999 -9999 -9999     0  5602  5304  5300    29 -9999  9063

  FE11  FE12  FE21  FE22  SNR1  SNR2  SNR3  SNR4 CHECK   JAM
 -9999 -9999 -9999 -9999   122   113   106     0    58 10100

   ALT    CT SPEED   DIR     W    SW    SU    SV  U'V'  U'W'  ETAM

   ALT    CT SPEED   DIR     W    SW    SU    SV  U'V'  U'W'  ETAM

   140   193    37     8    -7    23     6    -5     1   -16     3
   130   235    40    24    -8    26     2    -7     3   -17     3
   120   300    43   341    -9    24     1    -2     3   -18     3
   110   422    50    49    -5    17     2   -11     5   -16     3
   100   513    48    59    -3    14     5     7     6   -20     4
    90   520    30    37     0    13     7   -29     7   -11     4
    80   453    43    15     3    15    19   -15    13    -7     6
    70   425    98    37     5    22    12    -1    11   -16    22
    60   457    88    25     4    26    19   -36    16   -34    42
    50   496    80   317     2    29    17   -23    23   -35    63
    40   468    78   316     2    30    18    42    30   -29    95
    30   408    79    32    -1    32    13     6    20   -30 -9999
    20   379   174    62     1    34     6   -89     9   -27 -9999
    10   402   103    35     8    38     4   -33     5   -36 -9999
$

   GPS LAT  GPS LONG   ROLL  PITCH AZIMUT   T IN  PmBARS  T OUT    RH%
   37.1969  -80.5777    0.0   -0.1  281.4   41.8   959.0   26.5   61.6                    

   BL# MONTH   DAY  YEAR  HOUR   MIN  VAL1  VAL2  VAL3  VAL4
   573     5    17  2017     8    50   211   461   468     0

  SPU1  SPU2  SPU3  SPU4 NOIS1 NOIS2 NOIS3 NOIS4 FEMAX SOFTW
     2     1     0     0  5405  5604  5502    29   248  9063

  FE11  FE12  FE21  FE22  SNR1  SNR2  SNR3  SNR4 CHECK   JAM
     8     8     8     8   102    94    93     0    59 10091

   ALT    CT SPEED   DIR     W    SW    SU    SV  U'V'  U'W'  ETAM

   140   238   110   163   -15    18     2    -7     2    54 -9999
   130   252   103   166   -13    21     1    -6     4    54     2
   120   254    80   154   -10    25     0    -9     9    53     2
   110   253    80   174    -3    33     2    -4    11    51     1
   100   247    86   147    -6    33     4   -14    11    34     1
