
   GPS LAT  GPS LONG   ROLL  PITCH AZIMUT   T IN  PmBARS  T OUT    RH%
   37.1975  -80.5777   -0.1    0.0  278.8   29.4   949.6   23.1   36.2                    

   BL# MONTH   DAY  YEAR  HOUR   MIN  VAL1  VAL2  VAL3  VAL4
   573     5     2  2017    11    50    60    29    96     0

  SPU1  SPU2  SPU3  SPU4 NOIS1 NOIS2 NOIS3 NOIS4 FEMAX SOFTW
 -9999 -9999 -9999     0  5403  6103  5501    29 -9999  9063

  FE11  FE12  FE21  FE22  SNR1  SNR2  SNR3  SNR4 CHECK   JAM
 -9999 -9999 -9999 -9999   114   105   106     0    60 10100

   ALT    CT SPEED   DIR     W    SW    SU    SV  U'V'  U'W'  ETAM
   190 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   185 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   180 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   175 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   170 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   165 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   160 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   155 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   150 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   145 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   140 -9999  1004   296 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   135  2090   991   296   -25   177 -9999 -9999 -9999 -9999 -9999
   130  2035   978   295   -25   174 -9999 -9999 -9999 -9999 -9999
   125  1980   967   295   -26   171 -9999 -9999 -9999 -9999 -9999
   120  1924   954   295   -27   168 -9999 -9999 -9999 -9999 -9999
   115  1869   941   295   -28   164 -9999 -9999 -9999 -9999 -9999
   110  1814   929   294   -28   161     1 -9999     1 -9999 -9999
   105  1758   918   294   -29   158     0 -9999     1 -9999 -9999
   100  1703   903   294   -30   154     4 -9999     1 -9999 -9999
    95  1648   891   293   -30   151     1 -9999     0 -9999 -9999
    90  1592   880   293   -31   148     4 -9999     0 -9999 -9999
    85  1537   864   293   -32   145     0 -9999     1 -9999 -9999
    80  1505   867   293   -32   141     0 -9999     1 -9999 -9999
    75  1616   893   294   -31   138     2   418     0 -9999 -9999
    70  1727   901   294   -29   135     2   408     0 -9999 -9999
    65  1624   869   293   -29   132     0   399     1  -270 -9999
    60  1055   826   291   -32   128     3   390     1  -257 -9999
    55   486   809   291   -35   125     1   380     0  -245 -9999
    50   240   809   292   -34   122     1   371     0  -232 -9999
    45   334   796   292   -28   119     1   362     0  -220 -9999
    40   429   767   292   -22   116     6   352     2  -207 -9999
    35   428   735   291   -22   116     6   368     3  -232 -9999
    30   377   697   289   -24   120     6   342     5  -182 -9999
    25   326   653   286   -26   123    10   330     2  -196 -9999
    20   300   638   284   -24   125     8   303     7  -172 -9999
    15   280   654   286   -19   128     6   278     9  -109 -9999
    10   259   669   287   -14   130     3   289     3  -134 -9999
$

   GPS LAT  GPS LONG   ROLL  PITCH AZIMUT   T IN  PmBARS  T OUT    RH%
   37.1975  -80.5777   -0.2   -0.1  278.5   33.0   949.6   23.8   35.2                    

   BL# MONTH   DAY  YEAR  HOUR   MIN  VAL1  VAL2  VAL3  VAL4
   573     5     2  2017    12    10   186    62   200     0

  SPU1  SPU2  SPU3  SPU4 NOIS1 NOIS2 NOIS3 NOIS4 FEMAX SOFTW
     1     1     0     0  5702  5604  5501    29 -9999  9063

  FE11  FE12  FE21  FE22  SNR1  SNR2  SNR3  SNR4 CHECK   JAM
 -9999 -9999 -9999 -9999   106    97    96     0    61 10100

   ALT    CT SPEED   DIR     W    SW    SU    SV  U'V'  U'W'  ETAM

   195 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   190 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   185 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   180 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   175 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   170 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   165 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   160 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   155 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   150 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   145 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   140  1551  1005   297   -44   160 -9999 -9999 -9999 -9999 -9999
   135  1313   993   296   -45   156 -9999 -9999 -9999 -9999 -9999
   130   837   982   296   -51   151 -9999 -9999 -9999 -9999 -9999
   125   360   972   295   -57   146 -9999 -9999 -9999 -9999 -9999
   120   181   960   295   -53   142 -9999 -9999 -9999 -9999 -9999
   115   179   950   295   -40   137 -9999 -9999 -9999 -9999 -9999
   110   177   938   294   -31   133     0 -9999     0 -9999 -9999
   105   170   928   294   -29   127     0 -9999     0 -9999 -9999
   100   161   916   293   -32   119     3 -9999     1 -9999 -9999
    95   153   904   293   -34   114     0 -9999     0 -9999 -9999
    90   189   894   292   -34   119     1 -9999     0 -9999 -9999
    85   227   882   292   -32   129     0 -9999     1 -9999 -9999
    80   264   872   291   -34   135     2 -9999     0 -9999 -9999
    75   299   863   290   -47   135     0 -9999     0 -9999 -9999
    70   333   850   290   -63   135     1   400     1 -9999 -9999
    65   368   836   292   -71   134     1   394     0  -277 -9999
    60   405   822   295   -72   134     2   388     1  -262 -9999
    55   441   808   295   -72   133     3   382     1  -248 -9999
    50   466   789   294   -73   132     0   376     4  -233 -9999
    45   480   772   293   -77   131     2   370     1  -219 -9999
    40   494   756   293   -80   129     3   364     2  -204 -9999
    35   452   740   292   -79   130     6   358     7  -190 -9999
    30   382   714   290   -76   135     6   323     4  -219 -9999
    25   312   683   286   -71   137     9   315     1  -193 -9999
    20   281   670   285   -60   134     8   302     2  -179 -9999
    15   259   680   287   -42   126     3   294     5  -118 -9999
    10   236   688   289   -27   120     3   291     1  -151 -9999
$

   GPS LAT  GPS LONG   ROLL  PITCH AZIMUT   T IN  PmBARS  T OUT    RH%
   37.1975  -80.5777   -0.1    0.0  278.5   33.5   949.7   24.0   37.4                    

   BL# MONTH   DAY  YEAR  HOUR   MIN  VAL1  VAL2  VAL3  VAL4
   573     5     2  2017    12    15   161    46   229     0

  SPU1  SPU2  SPU3  SPU4 NOIS1 NOIS2 NOIS3 NOIS4 FEMAX SOFTW
     1     1     0     0  5903  5804  5701    29 -9999  9063

  FE11  FE12  FE21  FE22  SNR1  SNR2  SNR3  SNR4 CHECK   JAM
 -9999 -9999 -9999 -9999   107    96    96     0    62 10100

   ALT    CT SPEED   DIR     W    SW    SU    SV  U'V'  U'W'  ETAM

   195 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   190 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   185 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   180 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   175 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   170 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   165 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   160 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   155 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   150 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   145 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   140 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   135 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   130 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   125 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   120 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   115   165   817   250    16   119 -9999 -9999 -9999 -9999  1294
   110   167   793   250    16   112     2 -9999     0 -9999  1264
   105   167   790   250    11   109     1 -9999     2 -9999  1238
   100   166   833   251     3   107     2 -9999     0 -9999  1203
    95   165   863   251    -5   106     1 -9999     0 -9999  1190
    90   176   806   251   -17   108     1 -9999     1 -9999  1231
    85   187   711   250   -32   111     0 -9999     0 -9999  1299
    80   205   685   250   -43   113     0 -9999     2 -9999  1319
    75   266   724   251   -50   117     1   489     2 -9999  1232
    70   328   746   251   -55   121     1   463     1 -9999  1105
    65   377   724   251   -59   126     1   437     0 -9999  1124
    60   400   692   252   -59   133     0   412     1 -9999  1345
    55   423   672   251   -59   142     0   386     3    84  1584
    50   417   653   250   -57   145     3   361     0    79  1518
    45   381   637   249   -54   144     2   412     0    74  1031
    40   344   626   251   -49   144     3   309     1    69   637
    35   292   614   252   -44   146    10   353     1    65   999
    30   233   620   255   -38   151     3   320     1    60  1960
    25   173   639   259   -31   152     6   296     7    69  2984
    20   147   613   261   -17   142     9   288     2    50 -9999
    15   126   530   260     3   123     7   310     2     5 -9999
    10   106   450   259    20   106     2   214     3    12 -9999
$

   GPS LAT  GPS LONG   ROLL  PITCH AZIMUT   T IN  PmBARS  T OUT    RH%
   37.1975  -80.5777   -0.1    0.0  278.5   34.1   949.6   24.2   37.6                    

   BL# MONTH   DAY  YEAR  HOUR   MIN  VAL1  VAL2  VAL3  VAL4
   573     5     2  2017    12    20   176    70   174     0

  SPU1  SPU2  SPU3  SPU4 NOIS1 NOIS2 NOIS3 NOIS4 FEMAX SOFTW
     2     1     0     0  5902  5904  5801    29     0  9063

  FE11  FE12  FE21  FE22  SNR1  SNR2  SNR3  SNR4 CHECK   JAM
     9     9     8     9    96    96    97     0    63 10100

   ALT    CT SPEED   DIR     W    SW    SU    SV  U'V'  U'W'  ETAM

   195 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   190 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   185 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   180 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   175 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   170 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   165  2222   373   266   107   116 -9999 -9999 -9999 -9999 -9999
   160  2170   366   266   105   120 -9999 -9999 -9999 -9999 -9999
   155  2119   360   266   102   123 -9999 -9999 -9999 -9999 -9999
   150  2067   351   266   100   126 -9999 -9999 -9999 -9999 -9999
   145  2016   345   266    97   130 -9999 -9999 -9999 -9999 -9999
   140  1964   349   266    95   133 -9999 -9999 -9999 -9999 -9999
   135  1913   364   265    95   132 -9999 -9999 -9999 -9999 -9999
   130  1861   379   265   100   125 -9999 -9999 -9999 -9999 -9999
   125  1810   393   265   105   118 -9999 -9999 -9999 -9999 -9999
   120  1445   408   265   101   123 -9999 -9999 -9999 -9999 -9999
